nsteps,crw_κ,w,brw_κ,mean_resultant_length
20,3.4,0.0,0.01,0.2100856119270557
20,3.4,0.25,0.01,0.1616483213255273
20,3.4,0.5,0.01,0.11103583652371551
20,3.4,0.75,0.01,0.11144240287862041
20,3.4,1.0,0.01,0.10111859606952074
20,3.4,0.0,0.14,0.20915624792889934
20,3.4,0.25,0.14,0.35399809876882277
20,3.4,0.5,0.14,0.7049579141305595
20,3.4,0.75,0.14,0.8007411214137629
20,3.4,1.0,0.14,0.7985702309557007
20,3.4,0.0,2.0,0.20806135723054087
20,3.4,0.25,2.0,0.9160577329159827
20,3.4,0.5,2.0,0.9818007288578412
20,3.4,0.75,2.0,0.9876353522116414
20,3.4,1.0,2.0,0.98768154034704
20,3.4,0.0,28.28,0.20946637277868504
20,3.4,0.25,28.28,0.9502054038818938
20,3.4,0.5,28.28,0.9935937703670163
20,3.4,0.75,28.28,0.9985648003888192
20,3.4,1.0,28.28,0.999142765099173
20,3.4,0.0,400.0,0.2078113414424351
20,3.4,0.25,400.0,0.9515516275059309
20,3.4,0.5,400.0,0.9942698997790722
20,3.4,0.75,400.0,0.9993083300999183
20,3.4,1.0,400.0,0.9999402538409095
